5.2000E−2	0.509	1.16E−1
5.3000E−2	0.493	1.84E−1
5.4100E−2	0.489	2.61E−1
5.5100E−2	0.501	3.28E−1
5.6400E−2	0.539	4.21E−1
5.7400E−2	0.598	4.81E−1
5.7900E−2	0.636	4.99E−1
5.8500E−2	0.682	5.13E−1
5.9000E−2	0.720	5.13E−1
5.9500E−2	0.752	5.12E−1
6.0200E−2	0.797	5.05E−1
6.2000E−2	0.869	4.48E−1
6.2600E−2	0.880	4.28E−1
6.3300E−2	0.884	4.09E−1
6.5300E−2	0.885	3.73E−1
6.7000E−2	0.870	3.52E−1
6.8500E−2	0.858	3.55E−1
7.0400E−2	0.830	3.34E−1
7.2500E−2	0.790	3.66E−1
7.4700E−2	0.748	3.88E−1
7.7500E−2	0.704	4.90E−1
7.9500E−2	0.705	5.78E−1
8.0500E−2	0.727	6.33E−1
8.1600E−2	0.765	6.65E−1
8.2700E−2	0.805	6.97E−1
8.3800E−2	0.848	7.06E−1
8.4900E−2	0.901	7.21E−1
8.6100E−2	0.944	6.68E−1
8.7300E−2	0.931	6.17E−1
8.7500E−2	0.922	6.10E−1
8.8000E−2	0.898	6.02E−1
8.8600E−2	0.860	6.02E−1
8.9800E−2	0.817	6.75E−1
9.1200E−2	0.820	7.52E−1
9.2500E−2	0.858	8.21E−1
9.3900E−2	0.910	8.49E−1
9.4500E−2	0.930	8.66E−1
9.5000E−2	0.952	8.78E−1
9.5400E−2	0.976	8.87E−1
9.6000E−2	1.012	8.79E−1
9.6500E−2	1.035	8.63E−1
9.6900E−2	1.044	8.43E−1
9.7500E−2	1.044	8.22E−1
9.8000E−2	1.034	8.08E−1
9.8400E−2	1.025	8.09E−1
9.9000E−2	1.016	8.09E−1
9.9500E−2	1.008	8.11E−1
1.0000E−1	0.996	8.13E−1
1.0160E−1	0.966	8.58E−1
1.0330E−1	0.952	9.30E−1
1.0510E−1	0.975	1.03E+0
1.0690E−1	1.040	1.10E+0
1.0900E−1	1.079	1.11E+0
1.1100E−1	1.039	1.16E+0
1.1200E−1	0.981	1.22E+0
1.1300E−1	0.894	1.33E+0
1.1400E−1	0.818	1.56E+0
1.1500E−1	0.817	1.89E+0
1.1550E−1	0.866	2.11E+0
1.1600E−1	0.979	2.34E+0
1.1650E−1	1.161	2.59E+0
1.1700E−1	1.435	2.82E+0
1.1730E−1	1.659	2.93E+0
1.1770E−1	1.986	3.00E+0
1.1800E−1	2.240	3.01E+0
1.1830E−1	2.501	2.99E+0
1.1860E−1	2.778	2.94E+0
1.1900E−1	3.157	2.80E+0
1.1950E−1	3.627	2.47E+0
1.2000E−1	3.855	1.83E+0
1.2050E−1	3.773	1.31E+0
1.2100E−1	3.609	1.02E+0
1.2150E−1	3.472	8.23E−1
1.2200E−1	3.352	6.59E−1
1.2250E−1	3.237	5.33E−1
1.2300E−1	3.134	4.36E−1
